CIDADE,REG_ADM,ANO,MES,DESC_MES,SEXO,TURNO,TIPO,VEIC,FAIX_ETAR,IDADE,HORA,VITIMA,LOCAL,DIA_SEM,VIA,LAT,LONG,NOME,geometry
EMBU DAS ARTES,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MADRUGADA,COLISAO,MOTOCICLETA,30-34,30,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.660707000000002,-46.807158,RUA BOA VIAGEM JD. SÃO VICENTE,POINT (-5210548.994040301 -2712117.946989322)
EMBU DAS ARTES,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,NAO DISPONIVEL,NAO DISPONIVEL,,PEDESTRE,PUBLICO,DOMINGO,Rodovias,-23.66202616,-46.85256951,BR 116,POINT (-5215604.180209655 -2712278.273294454)
EMBU DAS ARTES,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,30-34,34,,PEDESTRE,PUBLICO,QUINTA,Rodovias,-23.63756046,-46.83216721,BR 116,POINT (-5213333.006562643 -2709305.056799147)
FRANCISCO MORATO,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MANHA,COLISAO,MOTOCICLETA,30-34,30,,PASSAGEIRO,PUBLICO,SEXTA,Vias Municipais,-23.293967000000002,-46.746783,AVENIDA AFONSO MORENO,POINT (-5203828.079783657 -2667607.89783667)
FRANCO DA ROCHA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,OUTROS,MOTOCICLETA,18-24,18,,CONDUTOR,PUBLICO,SÁBADO,Rodovias,-23.3050326,-46.760803100000004,SP 332,POINT (-5205388.790176529 -2668949.089172016)
FRANCO DA ROCHA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MADRUGADA,COLISAO,AUTOMOVEL,30-34,34,,NAO DISPONIVEL,PUBLICO,DOMINGO,Rodovias,-23.34148052,-46.74075873,SP 023,POINT (-5203157.461114857 -2673367.500301961)
GUARAREMA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,18-24,22,,PEDESTRE,PUBLICO,SEXTA,Rodovias,-23.33452088,-46.13219836,SPI 179/060,POINT (-5135412.830609488 -2672523.722020522)
GUARUJA,Baixada Santista,2017,5,MAIO,MASCULINO,MADRUGADA,COLISAO,BICICLETA,65-69,69,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.982149,-46.231790999999994,AVENIDA IDOM PEDRO I DEFRONTE CARREFOUR,POINT (-5146499.432581048 -2751233.038126007)
GUARUJA,Baixada Santista,2017,5,MAIO,MASCULINO,NOITE,OUTROS,MOTOCICLETA,40-44,43,,CONDUTOR,PUBLICO,SÁBADO,Vias Municipais,-23.986386,-46.248098999999996,RUA MARIVALDO FERNANDES,POINT (-5148314.830836903 -2751749.271928887)
GUARULHOS,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NAO DISPONIVEL,ATROPELAMENTO,PEDESTRE,70-74,73,,PEDESTRE,PUBLICO,QUINTA,Rodovias,-23.45191611,-46.49125558,SP 019,POINT (-5175382.897505539 -2686762.507400024)
GUARULHOS,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,COLISAO,BICICLETA,35-39,35,,CONDUTOR,PUBLICO,QUINTA,Rodovias,-23.47821939,-46.44078092,SP 070,POINT (-5169764.084056376 -2689954.547244361)
GUARULHOS,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MADRUGADA,COLISAO,MOTOCICLETA,25-29,26,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.472285,-46.398037,RUA LUZ DA CRUZ PEDROSO,POINT (-5165005.852647468 -2689234.322574531)
